Y,X1,X2
-0.926,0.3,1.2
0.1595336,1.2,-0.926
0.686568643,-0.926,0.1595336
0.387932978,0.1595336,0.686568643
0.995281799,0.686568643,0.387932978
-0.270440309,0.387932978,0.995281799
1.196191395,0.995281799,-0.270440309
-1.084355487,-0.270440309,1.196191395
-0.287300132,1.196191395,-1.084355487
0.559135442,-1.084355487,-0.287300132
0.476124541,-0.287300132,0.559135442
0.850368223,0.559135442,0.476124541
0.130460802,0.476124541,0.850368223
1.231282438,0.850368223,0.130460802
-1.083340777,0.130460802,1.231282438
-0.273693403,1.231282438,-1.083340777
0.570126456,-1.083340777,-0.273693403
0.462830133,-0.273693403,0.570126456
0.871141513,0.570126456,0.462830133
0.076406491,0.462830133,0.871141513
1.253169321,0.871141513,0.076406491
-1.175684739,0.076406491,1.253169321
-0.559177653,1.253169321,-1.175684739
0.209543072,-1.175684739,-0.559177653
0.770775086,-0.559177653,0.209543072
0.231130996,0.209543072,0.770775086
1.156442374,0.770775086,0.231130996
-0.802963251,0.231130996,1.156442374
0.444282737,1.156442374,-0.802963251
0.482769014,-0.802963251,0.444282737
0.806992532,0.444282737,0.482769014
0.233098978,0.482769014,0.806992532
1.166028573,0.806992532,0.233098978
-0.833541993,0.233098978,1.166028573
0.377099417,1.166028573,-0.833541993
0.550851844,-0.833541993,0.377099417
0.688316969,0.377099417,0.550851844
0.501963203,0.550851844,0.688316969
0.853741211,0.688316969,0.501963203
0.130165284,0.501963203,0.853741211
1.232402162,0.853741211,0.130165284
-1.087291538,0.130165284,1.232402162
-0.285363395,1.232402162,-1.087291538
0.559807365,-1.087291538,-0.285363395
0.475652982,-0.285363395,0.559807365
0.851198147,0.559807365,0.475652982
0.128342295,0.475652982,0.851198147
1.232299002,0.851198147,0.128342295
-1.087482473,0.128342295,1.232299002
-0.28597568,1.232299002,-1.087482473
0.559260332,-1.087482473,-0.28597568
0.476326329,-0.28597568,0.559260332
0.85013662,0.559260332,0.476326329
